序號,孳清/噴藥,區域,里別,日期,星期,集合時間,集合地點,鎖匠,"警員
(安全維護)",刑警(V8),噴工數,支援人力,經度,緯度,中午休息地點
617,噴藥,東山區,聖賢里,11月1日,日,08:15,"東山區東山里320號〈幸福幼稚園門口〉
",1,1,0,3/偉聖,本所,120.358 ,23.310 ,
618,噴藥,歸仁區,許厝里,11月1日,日,08:15,許厝里公園路64號對面文化中心,1,1,1,"8/國軍
1/本局(備)",16,120.300 ,22.966 ,歸仁區公所
619,噴藥,歸仁區,西埔里,11月1日,日,08:15,西埔里西埔二街96號福德祠,1,1,1,"4/國軍
1/本局(備)",8,120.289 ,23.008 ,歸仁區公所
620,噴藥,歸仁區,新厝里,11月1日,日,13:15,新厝里公園路與公園10街交叉口,1,1,1,"11/國軍
2/本局(備)",22,120.292 ,22.962 ,歸仁區公所
621,噴藥,歸仁區,崙頂里,11月1日,日,13:15,崙頂里崙頂17街街口,1,1,1,"1/國軍
1/本局(備)",2,120.293 ,22.957 ,歸仁區公所
622,噴藥,關廟區,香洋里,11月1日,日,08:15,"關廟區中山路一段191號旁
",1,1,1,"8/國軍
1/本局(備)",16,120.330 ,22.959 ,
623,噴藥,佳里區,安西里,11月1日,日,08:15,"佳里區安西里佳西路271號(安西夜市廣場)
",1,1,1,"10/國軍
1/本局(備)",13,120.162 ,23.163 ,佳里區衛生所
624,噴藥,佳里區,安西里,11月1日,日,08:15,"佳里區安西里育善街283號(朱澤宮)
",1,0,1,"8/國軍
1/本局(備)",13,120.162 ,23.163 ,佳里區衛生所
625,噴藥,佳里區,建南里,11月1日,日,08:15,"佳里區建南里佳南路366號(慈聖宮)
",1,0,1,"6/國軍
1/本局(備)",8,120.173 ,23.150 ,佳里區衛生所
626,噴藥,東區,德光,11月2日,一,08:15,崇德三街12號(崇學苑),1,1,0,"9/國軍
1/本局(備)",21 ,120.223 ,22.982 ,衛生局
627,噴藥,東區,大學,11月2日,一,08:15,台南市東區大學路1號成功大學 勝利一舍前,1,1,0,"8/國軍
1/本局(備)",19 ,120.220 ,22.996 ,衛生局
628,噴藥,東區,東智,11月2日,一,08:15,崇德三十街30號對面空地,1,1,0,3/本局,8,120.228 ,22.963 ,衛生局
629,噴藥,東區,裕聖,11月2日,一,08:15,裕忠路255號對面公園,1,1,0,"8/國軍
1/本局(備)",19,120.247 ,22.980 ,衛生局
630,噴藥,東區,忠孝,11月2日,一,13:15,崇明路266巷1號(崇明天廈大樓),2,1,1,"13/國軍
1/本局(備)",30,120.242 ,23.010 ,衛生局
631,噴藥,東區,大德,11月2日,一,13:15,立德十路1號前,1,1,0,"11/國軍
1/本局(備)",26,120.274 ,22.973 ,衛生局
632,噴藥,東區,小東a,11月2日,一,13:15,小東路246號前,1,1,0,"8/國軍
1/本局(備)",19,120.227 ,23.000 ,衛生局
633,噴藥,東區,小東b,11月2日,一,13:15,東安路251巷140號旁公園,1,1,0,"4/國軍
1/本局(備)",10,120.227 ,23.000 ,衛生局
634,噴藥,中西區,五妃里,11月2日,一,08:15,南門路239號,3,2,1,"25/國軍
1/本局(備)",58,120.206 ,22.984 ,西賢里活動中心+中西區衛生所
635,噴藥,中西區,安海里,11月2日,一,13:15,"民生路二段273號
海安派出所",1,1,1,"8/國軍
1/本局(備)",19,120.192 ,22.996 ,西賢里活動中心+中西區衛生所
636,噴藥,北區,東興里,11月2日,一,13:15,"小東路57號
(敬業校舍門口)",1,1,1,"5/國軍
1/本局(備)",13,120.226 ,23.001 ,光武里活動中心(北門路二段591號)
637,噴藥,北區,和順里,11月2日,一,13:15,"和順里活動中心
(公園南路406號)",1,1,1,3/國軍,9,120.202 ,23.005 ,光武里活動中心(北門路二段591號)
638,噴藥,南區,松安,11月2日,ㄧ,08:15,保安宮(灣裡路68弄17號),1,1,1,"5/國軍
1/本局(備)",12,120.337 ,22.956 ,
639,噴藥,南區,府南,11月2日,ㄧ,08:15,大成路二段29巷路底,3,2,1,"11/國軍
1/本局(備)",24,120.195 ,22.972 ,
640,噴藥,南區,新興,11月2日,ㄧ,13:15,新興里活動中心(新興路22號),2,1,1,"8/國軍
1/本局(備)",18,120.191 ,22.976 ,
641,噴藥,南區,永寧,11月2日,ㄧ,13:15,灣裡社區中心(灣裡路263巷41號),2,1,1,"8/國軍
1/本局(備)",18,120.180 ,22.929 ,
642,噴藥,南區,興農,11月2日,ㄧ,13:15,灣裡社區中心(灣裡路263巷41號),2,1,1,"8/國軍
1/本局(備)",18,120.192 ,22.930 ,
643,噴藥,永康區,六合-A,11月2日,一,08:15,六合路66號旁巷口,1,1,1,"10/國軍
1/本局(備)",23,120.231 ,23.011 ,六合里活動中心(中華二路358巷43號)
644,噴藥,永康區,六合-B,11月2日,一,08:15,中華二路358巷43號(六合里活動中心),1,1,1,"8/國軍
1/本局(備)",19,120.231 ,23.011 ,六合里活動中心(中華二路358巷43號)
645,噴藥,永康區,六合-C,11月2日,一,08:15,新興街36號,1,1,1,"4/國軍
1/本局(備)",9,120.231 ,23.011 ,六合里活動中心(中華二路358巷43號)
646,噴藥,永康區,復國,11月2日,一,08:15,復國一路68巷2號,1,1,1,"6/國軍
1/本局(備)",13,120.246 ,23.000 ,六合里活動中心(中華二路358巷43號)
647,噴藥,永康區,尚頂,11月2日,一,13:15,南台街54巷41弄17-7號旁停車場,1,1,1,"7/國軍
1/本局(備)",16,120.229 ,23.029 ,六合里活動中心(中華二路358巷43號)
648,噴藥,永康區,鹽行,11月2日,一,13:15,永安路105巷46弄大樓警衛室,1,1,1,"7/國軍
1/本局(備)",16,120.237 ,23.041 ,六合里活動中心(中華二路358巷43號)
649,噴藥,永康區,網寮,11月2日,一,13:15,永吉路129號旁空地,1,1,1,"2/國軍
1/本局(備)",5,120.253 ,23.019 ,六合里活動中心(中華二路358巷43號)
650,噴藥,永康區,新樹,11月2日,一,13:15,富強路2段98號(新樹里活動中心),1,1,1,"9/國軍
1/本局(備)",21,120.263 ,23.021 ,六合里活動中心(中華二路358巷43號)
651,噴藥,安南,溪墘,11月2日,一,08:15,"郡安路五段184巷38弄
對面公園",1,1,1,"9/國軍
1/本局(備)",21,120.193 ,23.024 ,鳳凰里活動中心
652,噴藥,安南,鳳凰,11月2日,一,13:15,安中路一段516巷36弄39號門口前,1,1,1,"9/國軍
1/本局(備)",21,120.199 ,23.042 ,鳳凰里活動中心
653,噴藥,安平區,國平里,11月2日,一,08:15,華平路21巷32弄40號,2,1,0,"7/國軍
1/本局(備)",16,120.168 ,22.979 ,安平區衛生所
654,噴藥,安平區,平通里,11月2日,一,13:15,育平九街192巷43號對面公園,1,0,1,"5/國軍
1/本局(備)",11,120.169 ,22.994 ,安平區衛生所
655,噴藥,安平區,文平里,11月2日,一,13:15,永華二街15號對面永華公園,1,1,0,"2/國軍
1/本局(備)",5,120.181 ,22.986 ,安平區衛生所
656,噴藥,東,自強,11月3日,二,08:15,"中華東路二段167號
(摩根大樓)前",1,1,0,"11/國軍
2/本局(備)",25 ,120.252 ,23.028 ,衛生局
657,噴藥,東,大福,11月3日,二,08:15,立德五路23號對面公園,1,1,0,"6/國軍
1/本局(備)",15 ,120.194 ,22.999 ,衛生局
658,噴藥,東,東門,11月3日,二,08:15,東門路一段3號,1,1,0,"7/國軍
1/本局(備)",17 ,120.225 ,22.984 ,衛生局
659,噴藥,東,崇文,11月3日,二,13:15,崇德17街82號前面,1,1,0,"14/國軍
2/本局(備)",33 ,120.230 ,22.968 ,衛生局
660,噴藥,東,忠孝,11月3日,二,13:15,崇明路384號(警察局)旁公園空地,1,1,0,"5/國軍
1/本局(備)",13 ,120.242 ,23.010 ,衛生局
661,噴藥,東,和平,11月3日,二,13:15,自由路二段6號至26號大廈門口(希望之都),1,1,0,"5/國軍
1/本局(備)",13 ,120.265 ,23.055 ,衛生局
662,噴藥,北區,興北里a,11月3日,二,08:15,"市立圖書館旁停車場
(公園北路3號)",1,1,1,"6/國軍
1/本局(備)",15,120.212 ,23.006 ,大仁里活動中心(和緯路一段1號)
663,噴藥,北區,興北里b,11月3日,二,08:15,"市立圖書館旁停車場
(公園北路3號)",1,1,1,"6/國軍
1/本局(備)",15,120.212 ,23.006 ,大仁里活動中心(和緯路一段1號)
664,噴藥,北區,延平里,11月3日,二,13:15,長榮路5段397號旁私人車棚,1,1,1,"15/國軍
2/本局(備)",35,120.212 ,23.011 ,大仁里活動中心(和緯路一段1號)
665,噴藥,北區,成德里,11月3日,二,13:15,"凱德公園
(文成二路212巷11號對面)",1,1,1,"5/國軍
1/本局(備)",13,120.204 ,23.013 ,大仁里活動中心(和緯路一段1號)
666,噴藥,南區,白雪,11月3日,二,08:15,金華路ㄧ段159號騎樓,1,1,1,"8/國軍
1/本局(備)",18,120.189 ,22.968 ,"1.白雪里活動中心(鹽埕路157號)
2.大林活動中心(大同路二段482巷33弄15號)
"
667,噴藥,南區,彰南,11月3日,二,08:15,彰南里活動中心(新建路12號),1,1,1,"7/國軍
1/本局(備)",16,120.179 ,22.972 ,"1.白雪里活動中心(鹽埕路157號)
2.大林活動中心(大同路二段482巷33弄15號)
"
668,噴藥,南區,喜東,11月3日,二,13:15,明興路393巷口,1,1,1,"6/國軍
1/本局(備)",14,120.191 ,22.942 ,"1.白雪里活動中心(鹽埕路157號)
2.大林活動中心(大同路二段482巷33弄15號)
"
669,噴藥,南區,大林A,11月3日,二,13:15,大林路111巷22號前大林社區花鄉公園,1,1,1,"3/國軍
1/本局(備)",8,120.211 ,22.974 ,"1.白雪里活動中心(鹽埕路157號)
2.大林活動中心(大同路二段482巷33弄15號)
"
670,噴藥,南區,大林B,11月3日,二,13:15,大林路111巷22號前大林社區花鄉公園,1,1,1,"6/國軍
1/本局(備)",14,120.211 ,22.974 ,"1.白雪里活動中心(鹽埕路157號)
2.大林活動中心(大同路二段482巷33弄15號)
"
671,噴藥,永康區,二王里,11月3日,二,08:15,南工街206號,1,1,1,"9/國軍
1/本局(備)",21,120.247 ,23.018 ,永康衛生所(文化路51號)
672,噴藥,永康區,甲頂里,11月3日,二,08:15,中正南路168巷16弄1號,1,1,1,"5/國軍
1/本局(備)",12,120.215 ,23.022 ,永康衛生所(文化路51號)
673,噴藥,永康區,王行里,11月3日,二,13:15,王行路1060巷57號旁鐵皮屋,1,1,1,"5/國軍
1/本局(備)",12,120.277 ,23.042 ,永康衛生所(文化路51號)
674,噴藥,永康區,復興里,11月3日,二,13:15,復興路246巷7號(信義會靈糧堂),1,1,1,"7/國軍
1/本局(備)",17,120.244 ,22.997 ,永康衛生所(文化路51號)
675,噴藥,安南,梅花,11月3日,二,08:15,安中路一段639巷62弄5號門口,2,1,1,"15/國軍
2/本局(備)",34,120.195 ,23.041 ,海東里活動中心(海佃路二段509巷65號)
676,噴藥,安南,溪心,11月3日,二,08:15,本原街二段510巷4號旁空地,1,1,1,"12/國軍
2/本局(備)",28,120.185 ,23.051 ,海東里活動中心(海佃路二段509巷65號)
677,噴藥,安南,海東,11月3日,二,13:15,"同安路167巷71弄
37之35號",1,1,1,"10/國軍
1/本局(備)",22,120.199 ,23.120 ,海東里活動中心(海佃路二段509巷65號)
678,噴藥,安南,安和a,11月3日,二,13:15,安和路一段52巷67號,1,1,1,"11/國軍
1/本局(備)",24,120.219 ,23.057 ,海東里活動中心(海佃路二段509巷65號)
679,噴藥,安南,安和b,11月3日,二,13:15,安和路一段52巷67號,1,1,0,"4/國軍
1/本局(備)",10,120.219 ,23.057 ,海東里活動中心(海佃路二段509巷65號)
680,噴藥,安平區,西門里,11月3日,二,08:15,"國勝路35巷17號
王成西社區發展協會",1,1,0,"3/國軍
1/本局(備)",7,120.155 ,23.002 ,安平區衛生所
681,噴藥,安平區,怡平里,11月3日,二,08:15,永華六街32號,1,0,1,"4/國軍
1/本局(備)",9,120.177 ,22.994 ,安平區衛生所
682,噴藥,安平區,石門里-A,11月3日,二,13:15,平生路42號,1,0,1,6/中群,14,120.165 ,23.001 ,安平區衛生所
683,噴藥,安平區,石門里-B,11月3日,二,13:15,安平路678號旁空地,1,1,0,4/偉聖,9,120.165 ,23.001 ,安平區衛生所
684,噴藥,安平區,華平里,11月3日,二,13:15,慶平路507號,1,1,0,3/本局,7,120.174 ,22.995 ,安平區衛生所
685,噴藥,東區,自強,11月4日,三,08:15,中華東路二段323號(小北百貨),1,0,1,"10/國軍
1/本局(備)",23,120.252 ,23.028 ,衛生局
686,噴藥,東區,新東,11月4日,三,08:15,東門路二段163號(東門中華殉道聖人天主堂),1,0,1,"2/國軍
1/本局(備)",7,120.222 ,22.981 ,衛生局
687,噴藥,東區,崇德,11月4日,三,08:15,"崇德路407號
(康適睡眠館)",1,0,1,"3/國軍
1/本局(備)",9,120.228 ,22.971 ,衛生局
688,噴藥,東區,崇成A,11月4日,三,08:15,"崇明路700號
(崇明國中)大門口旁
",2,1,1,"14/國軍
1/本局(備)",33,120.229 ,22.971 ,衛生局
689,噴藥,東區,崇成B,11月4日,三,08:15,崇明路591號前面,1,1,0,"8/國軍
1/本局(備)",19,120.229 ,22.971 ,衛生局
690,噴藥,東區,小東,11月4日,三,13:15,東平路166號對面,1,1,0,"7/國軍
1/本局(備)",17,120.227 ,23.000 ,衛生局
691,噴藥,東區,成大A,11月4日,三,13:15,民族路一段88號(經典咖哩)前,1,1,0,"7/國軍
1/本局(備)",17,120.216 ,23.001 ,衛生局
692,噴藥,東區,崇學,11月4日,三,13:15,崇明路384號(文化派出所)旁邊公園,1,1,0,"9/國軍
1/本局(備)",21,120.224 ,22.980 ,衛生局
693,噴藥,東區,裕農,11月4日,三,13:15,裕豐街130號車庫前,1,1,0,"5/國軍
1/本局(備)",13,120.236 ,22.989 ,衛生局
694,噴藥,東區,東門,11月4日,三,13:15,北門路一段42號(五大唱片),1,1,0,"3/國軍
1/本局(備)",9,120.225 ,22.984 ,衛生局
695,噴藥,東區,成大B,11月4日,三,13:15,育樂街109-1號四維國宅C管理室前,1,1,0,"3/國軍
1/本局(備)",9,120.235 ,22.980 ,衛生局
696,噴藥,東區,德高+仁和,11月4日,三,13:15,自由路一段151號,1,1,0,"4/國軍
1/本局(備)",11,120.234 ,22.967 ,衛生局
697,噴藥,中西區,公正里,11月4日,三,13:15,衛民街89號前公園,3,2,1,"10/國軍
5/本局",11,120.210 ,22.994 ,
698,噴藥,北區,振興里,11月4日,三,08:15,"華興.振興里活動中心
(林森路三段181號)",1,1,1,"4/國軍
1/本局(備)",11,120.222 ,23.006 ,振興里活動中心
699,噴藥,北區,成德里,11月4日,三,13:15,"立德公園
(育德路與立賢路一段交叉處)",2,1,1,"14/國軍
1/本局(備)",33,120.204 ,23.013 ,振興里活動中心
700,噴藥,南區,明亮,11月4日,三,08:15,金華路ㄧ段484巷249號對面舊砲台休閒小站(明亮口袋公園02),2,2,1,"11/國軍
1/本局(備)",26,120.193 ,22.969 ,"明興里活動中心(德興88號)
衛生局同仁休息地點-南區衛生所(南和路7號)
"
701,噴藥,南區,明興,11月4日,三,08:15,金華路ㄧ段200巷8號旁與永仁街30巷交叉口,2,2,1,"8/國軍
1/本局(備)",18,120.182 ,22.941 ,"明興里活動中心(德興88號)
衛生局同仁休息地點-南區衛生所(南和路8號)
"
702,噴藥,南區,南華,11月4日,三,08:15,南華里活動中心(中華南路二段400巷2弄29號),5,5,1,"15/國軍
1/本局(備)",34,120.191 ,22.990 ,"明興里活動中心(德興88號)
衛生局同仁休息地點-南區衛生所(南和路9號)
"
703,噴藥,南區,光明,11月4日,三,13:15,新建路13巷口,3,3,1,"8/國軍
1/本局(備)",18,120.195 ,22.964 ,"明興里活動中心(德興88號)
衛生局同仁休息地點-南區衛生所(南和路10號)
"
704,噴藥,南區,郡南A,11月4日,三,13:15,明興里活動中心(德興路88號),3,3,1,"15/國軍
1/本局(備)",34,120.228 ,22.998 ,"明興里活動中心(德興88號)
衛生局同仁休息地點-南區衛生所(南和路11號)
"
705,噴藥,南區,郡南B,11月4日,三,13:15,明興里活動中心(德興路88號),3,3,1,"14/國軍
1/本局(備)",32,120.195 ,22.964 ,"明興里活動中心(德興88號)
衛生局同仁休息地點-南區衛生所(南和路12號)
"
706,噴藥,永康區,三合里,11月4日,三,08:15,南工街206號,1,1,1,"11/國軍
1/本局(備)",25,120.239 ,23.011 ,二王里二王社區發展中心(忠孝路468巷，可與二王里里長聯繫帶路0955014966)
707,噴藥,永康區,二王里,11月4日,三,13:15,南工街226巷1弄-長谷桃花園大廈,1,1,1,"4/國軍
1/本局(備)",10,120.247 ,23.018 ,二王里二王社區發展中心(忠孝路468巷，可與二王里里長聯繫帶路0955014966)
708,噴藥,安南,頂安,11月4日,三,08:15,怡安路一段385巷42號(頂安里活動中心),1,1,1,"4/國軍
1/本局(備)",10,120.210 ,23.044 ,
709,噴藥,安南,幸福,11月4日,三,13:15,府安路六段103巷80號,1,1,1,"3/國軍
1/本局(備)",8,120.190 ,23.021 ,安平區衛生所
710,噴藥,安平區,"石門里
港仔里",11月4日,三,13:15,安平路678號旁空地,1,,1,"4/國軍
1/本局(備)",9,120.165 ,23.001 ,安平區衛生所
711,噴藥,玉井區,玉井里玉田里,11月4日,三,08:15,"玉井基督教會
玉井區民權路27號",2,2,2,13/PCO,26,120.460 ,23.120 ,
712,噴藥,玉井區,玉井里玉田里,11月4日,三,13:15,"玉田里活動中心
玉井區中正路7號",2,2,2,13/PCO,26,120.460 ,23.126 ,
713,噴藥,東區,自強,11月5日,四,08:15,中華東路二段295巷49號大樓前,3,2,1,"17/國軍
2/本局(備)",40,120.223 ,22.997 ,衛生局
714,噴藥,東區,東智+仁德成功,11月5日,四,08:15,"仁德區崇德路88號
(7-11)旁空地",1,0,1,"4/國軍
1/本局(備)",11,120.228 ,22.963 ,衛生局
715,噴藥,東區,文聖,11月5日,四,13:15,裕信路288號旁空地,1,0,1,"7/國軍
1/本局(備)",17,120.242 ,22.983 ,衛生局
716,噴藥,東區,復興,11月5日,四,13:15,富農街一段193號(八方雲集),1,0,1,"7/國軍
1/本局(備)",17,120.245 ,22.999 ,衛生局
717,噴藥,東區,德高+仁和,11月5日,四,13:15,"仁和路139巷11號
(岫髮藝術坊)",1,0,1,"6/國軍
1/本局(備)",15,120.234 ,22.967 ,衛生局
718,噴藥,中西區,公正里,11月5日,四,13:15,衛民街89號前公園,3,2,1,"16/國軍
2/本局(備)",37,120.210 ,22.994 ,萬昌里活動中心
719,噴藥,北區,成德里,11月5日,四,08:15,"成德公園
(文成一路55號斜對面)",2,1,1,"11/國軍
1/本局(備)",27,120.204 ,23.013 ,和順里活動中心(公園南路406號)
720,噴藥,北區,和順里,11月5日,四,13:15,"和順里活動中心
(公園南路406號)",2,1,1,"10/國軍
1/本局(備)",23,120.202 ,23.005 ,和順里活動中心(公園南路406號)
721,噴藥,北區,正風里,11月5日,四,13:15,公園路948-1號與948-9號之間騎樓,1,1,0,"8/國軍
1/本局(備)",19,120.215 ,23.015 ,和順里活動中心(公園南路406號)
722,噴藥,南區,竹溪,11月5日,四,08:15,竹溪里活動中心(健康路ㄧ段113巷51弄1號),3,2,1,"19/國軍
2/本局(備)",42,120.210 ,22.979 ,竹溪里活動中心(健康路ㄧ段113巷51弄1號)及府南里活動中心(永成路529號)
723,噴藥,南區,府南A,11月5日,四,08:15,永成路三段550巷6號前,1,1,1,4/本局,10,120.195 ,22.972 ,竹溪里活動中心(健康路ㄧ段113巷51弄1號)及府南里活動中心(永成路529號)
724,噴藥,南區,荔宅府南,11月5日,四,08:15,西門路ㄧ段177號旁巷口,1,1,1,3/國軍,8,120.188 ,22.956 ,竹溪里活動中心(健康路ㄧ段113巷51弄1號)及府南里活動中心(永成路529號)
725,噴藥,南區,日新,11月5日,四,13:15,日新二號公園(金華路ㄧ段503巷17號前),3,2,1,"18/國軍
2/本局(備)",40,120.349 ,23.153 ,竹溪里活動中心(健康路ㄧ段113巷51弄1號)及府南里活動中心(永成路529號)
726,噴藥,南區,府南B,11月5日,四,13:15,金華路ㄧ段484巷71弄口,1,1,1,8/國軍,18,120.195 ,22.972 ,竹溪里活動中心(健康路ㄧ段113巷51弄1號)及府南里活動中心(永成路529號)
727,噴藥,永康區,五王-A(五福街),11月5日,四,08:15,五福街59號,2,1,1,"14/國軍
1/本局(備)",33,120.235 ,23.012 ,
728,噴藥,永康區,五王-B(中山東路),11月5日,四,08:15,中山東路68巷1弄32號旁空地,1,1,1,"6/國軍
1/本局(備)",15,120.235 ,23.012 ,
729,噴藥,安南,大安a,11月5日,四,08:15,"義安街176號對面公園
(大安里公園)",1,1,1,"9/國軍
1/本局(備)",20,120.193 ,23.039 ,理想大安聯合活動中心
730,噴藥,安南,大安b,11月5日,四,08:15,"義安街176號對面公園
(大安里公園)",1,1,1,"8/國軍
1/本局(備)",19,120.193 ,23.039 ,理想大安聯合活動中心
731,噴藥,安南,?田,11月5日,四,13:15,?田六街26號(永鎮宮),1,1,1,"8/國軍
1/本局(備)",19,120.144 ,23.033 ,理想大安聯合活動中心
732,噴藥,安南,安順,11月5日,四,13:15,"育安一街159號對面
(育安公園)",1,1,1,"7/國軍
1/本局(備)",17,120.211 ,23.033 ,理想大安聯合活動中心
733,噴藥,安南,溪墘,11月5日,四,13:15,海佃路一段284巷51號斜對面停車場,1,1,1,"8/國軍
1/本局(備)",19,120.193 ,23.024 ,理想大安聯合活動中心
734,噴藥,安平區,西門里-A,11月5日,四,08:15,安北路196巷1號對面公園,1,0,1,"2/國軍
1/本局(備)",4,120.155 ,23.002 ,安平區衛生所
735,噴藥,安平區,西門里-B,11月5日,四,08:15,安北路370巷9號對面,1,1,0,"5/國軍
1/本局(備)",12,120.155 ,23.002 ,安平區衛生所
736,噴藥,安平區,建平里,11月5日,四,13:15,平通路43號,1,0,1,"7/國軍
1/本局(備)",16,120.183 ,22.994 ,安平區衛生所
737,噴藥,歸仁區,許厝里,11月5日,四,08:15,大仁街116號旁空地,1,1,1,7/中群,14,120.300 ,22.966 ,歸仁區公所三樓
738,噴藥,歸仁區,許厝里,11月5日,四,08:15,仁愛六街43號旁空地,1,1,1,4/偉聖,8,120.300 ,22.966 ,歸仁區公所三樓
739,噴藥,歸仁區,歸仁里,11月5日,四,13:15,信義北路96巷7號前空地,1,1,1,4/偉聖,8,120.310 ,22.967 ,歸仁區公所三樓
740,噴藥,東區,文聖,11月6日,五,08:15,裕興路&裕忠路交叉路口公園,2,1,1,"17/國軍
2/本局(備)",39,120.242 ,22.983 ,衛生局
741,噴藥,東區,崇德,11月6日,五,08:15,崇德路535號(板塊牛排)旁停車場,1,1,0,"6/國軍
1/本局(備)",15,120.228 ,22.971 ,衛生局
742,噴藥,東區,中西,11月6日,五,13:15,林森路二段95號前(綠素界餐廳),2,1,1,"7/國軍
1/本局(備)",17,120.204 ,22.990 ,衛生局
743,噴藥,東區,泉南,11月6日,五,13:15,樹林街一段153號對面停車場(泉南停車場),1,1,0,"4/國軍
1/本局(備)",11,120.216 ,22.985 ,衛生局
744,噴藥,東區,富強,11月6日,五,13:15,中華東路二段22巷22號(慈善基金會)旁空地,1,1,0,"8/國軍
1/本局(備)",19,120.273 ,23.016 ,衛生局
745,噴藥,中西區,仙草里,11月6日,五,13:15,"衛理幼兒園
健康路一段368號",1,1,0,"6/國軍
1/本局(備)",15,120.199 ,22.984 ,萬昌里活動中心
746,噴藥,北區,裕民里a,11月6日,五,08:15,臨安路二段50巷23號前的停車場路面,2,2,1,"9/國軍
1/本局(備)",21,120.196 ,23.003 ,大仁里活動中心(和緯路一段1號)
747,噴藥,北區,裕民里b,11月6日,五,08:15,臨安路二段50巷23號前的停車場路面,2,2,1,"10/國軍
1/本局(備)",23,120.196 ,23.003 ,大仁里活動中心(和緯路一段1號)
748,噴藥,北區,五福里,11月6日,五,13:15,"元和宮
(北華街311號)",1,1,1,"4/國軍
1/本局(備)",11,120.203 ,23.000 ,大仁里活動中心(和緯路一段1號)
749,噴藥,北區,玉皇里,11月6日,五,13:15,"玉皇里活動中心
(佑民街45號)",1,1,1,"4/國軍
1/本局(備)",11,120.207 ,23.000 ,大仁里活動中心(和緯路一段1號)
